gene_name,t_stat,fold_change,p_value,p_adjusted
Os07g0226200,-0.51877324,-0.327650634,0.60523539,0.722066468
Os01g0202300,0.969981559,0.157784355,0.334743513,0.473894156
Os08g0400200,-4.890015881,-0.517051797,4.57E-06,4.07E-05
Os05g0489200,-1.954461169,-0.146867865,0.053856841,0.114187615
Os06g0643300,1.992760281,0.101366015,0.04942066,0.106412752
Os04g0608400,-2.585710231,-0.163280127,0.011380769,0.031823066
Os07g0646000,-6.028443946,-0.294160677,3.90E-08,7.23E-07
Os01g0730500,-2.179935171,-0.280560254,0.031961908,0.075023061
Os04g0654500,2.53074396,0.097491279,0.013179994,0.035912286
Os01g0742100,-1.058312064,-0.035488901,0.292841553,0.429806051
Os10g0149800,5.539562617,1.909830338,3.18E-07,4.26E-06
Os04g0634700,3.305973321,0.597889535,0.001376231,0.005397215
Os10g0425700,-0.734100888,-0.092947146,0.464860283,0.601769527
Os01g0772600,-2.74414102,-0.114886187,0.007367464,0.022184521
Os03g0336100,0.460542797,0.045941332,0.64627527,0.755879546
Os04g0280600,3.574052898,0.211533827,0.000576096,0.002591062
Os01g0721900,1.725588266,0.151462209,0.087970269,0.168901488
Os02g0592700,-0.963063821,-0.163499471,0.338183587,0.477606112
Os07g0175700,0.958748918,0.052472516,0.34034097,0.47987823
Os01g0242200,-6.534471437,-0.906701374,4.15E-09,1.11E-07
Os09g0560400,6.008375165,0.369714059,4.25E-08,7.72E-07
Os01g0318400,0.826765875,0.298631607,0.410630608,0.550340483
Os01g0909200,-0.954039424,-0.413287526,0.342705859,0.482349441
Os07g0450100,-2.938355175,-0.159413319,0.00422316,0.013930828
Os03g0792500,-5.625867425,-0.228832276,2.20E-07,3.12E-06
Os04g0399800,-2.119241261,-0.226429704,0.036918472,0.084285736
Os03g0328400,4.652555993,0.212305497,1.16E-05,8.98E-05
Os11g0259100,-0.496931552,-0.025791226,0.620490223,0.734795144
Os10g0525200,-0.610017653,-0.036186047,0.543439529,0.670894868
Os05g0373500,-2.972239956,-0.166710359,0.003822492,0.012807266
Os08g0161800,4.936174442,0.215728594,3.80E-06,3.49E-05
Os02g0217400,-2.347363009,-0.08839482,0.021175635,0.053385188
Os03g0102600,-1.295887452,-0.177519027,0.198440274,0.321315542
